TABLA,ORDEN,VARIABLE,BLOQUE,DESCRIPCION,TIPO,UNIDAD,DECIMALES,AMBITO,FUENTE,VARIABLE_FUENTE,DERIVACION,UNIVERSO,NA_SIGNIFICA,DIMENSION_IVC,SENTIDO_SUGERIDO,SCRIPT,NOTAS
ageb_indicadores,13,POB_TOTAL,Población base,"Población total residente habitual.",decimal (conteo),personas,,Ambos,CPV2020_AGEB / CPV2020_ITER,POBTOT,"Urbana: fila total de AGEB. Rural: suma de POBTOT de las localidades del ITER que caen en la AGEB.",,Nunca (0 en AGEB rural deshabitada),Población base,n/a,04_census_urban.R; 05_census_rural.R; 10_build.R,"Nunca suprimido por el INEGI. La suma nacional cuadra exacta con el Censo: 126,014,024 (D-12)."
ageb_indicadores,14,POB_REPORTADA,Confiabilidad,"Población cuyas características sí publica el censo.",decimal (conteo),personas,,Ambos,PIPELINE,POBTOT,"Urbana: POB_TOTAL, o 0 si la fila de la AGEB está suprimida entera. Rural: suma de POBTOT de las localidades que publican todas las características.",,Nunca,Confiabilidad,n/a,04_census_urban.R; 05_census_rural.R,"Ver D-14."
ageb_indicadores,15,PCT_POB_REPORTADA,Confiabilidad,"Porcentaje de la población de la AGEB cuyas características publica el censo.",decimal,%,2,Ambos,PIPELINE,,"100 × POB_REPORTADA / POB_TOTAL.",POB_TOTAL,D0: POB_TOTAL = 0,Confiabilidad,n/a,10_build.R,"Úsalo como peso o filtro de confiabilidad de los porcentajes, sobre todo en lo rural."
ageb_indicadores,16,N_CELDAS_IMPUTADAS,Confiabilidad,"Número de celdas censales de la AGEB imputadas como 1.5 porque venían suprimidas ('*').",entero,celdas,,Ambos,PIPELINE,,"Cuenta de celdas '*' entre los 52 conteos de CENSUS_VARS, solo en filas urbanas no suprimidas enteras.",,Nunca,Confiabilidad,n/a,04_census_urban.R,"Siempre 0 en AGEB rurales (el ITER sí publica 1 y 2). Nacional: 253,460 celdas en 55,573 AGEB urbanas (D-15)."
ageb_indicadores,17,POB_HOMBRES,Población base,"Población masculina.",decimal (conteo),personas,,Ambos,CPV2020_AGEB / CPV2020_ITER,POBMAS,"Urbana: valor directo. Rural: suma sobre localidades que publican el grupo SEXO.",,S,Población base,n/a,04_census_urban.R; 05_census_rural.R,"Puede valer 1.5 en AGEB urbanas (imputación)."
ageb_indicadores,18,POB_MUJERES,Población base,"Población femenina.",decimal (conteo),personas,,Ambos,CPV2020_AGEB / CPV2020_ITER,POBFEM,"Igual que POB_HOMBRES.",,S,Población base,n/a,04_census_urban.R; 05_census_rural.R,
ageb_indicadores,19,PCT_HOMBRES,Población base,"Porcentaje de hombres.",decimal,%,2,Ambos,PIPELINE,POBMAS,"100 × POB_HOMBRES / POB_DEN_SEXO.",Población de las localidades que publican el grupo SEXO (= POB_TOTAL en urbana),S; D0,Población base,n/a,10_build.R,
ageb_indicadores,20,PCT_MUJERES,Población base,"Porcentaje de mujeres.",decimal,%,2,Ambos,PIPELINE,POBFEM,"100 × POB_MUJERES / POB_DEN_SEXO.",Igual que PCT_HOMBRES,S; D0,Población base,n/a,10_build.R,
ageb_indicadores,21,DENS_POB_KM2,Población base,"Densidad de población.",decimal,personas/km²,2,Ambos,PIPELINE,,"POB_TOTAL / AREA_KM2.",AREA_KM2,Nunca,Exposición (contexto),±,10_build.R,"En AGEB rurales divide entre todo el territorio, no entre el área habitada."
ageb_indicadores,22,POB_POR_VIV,Población base,"Personas por vivienda particular habitada.",decimal,personas/vivienda,2,Ambos,PIPELINE,,"POB_DEN_VIV / VIV_PART_HAB.",VIV_PART_HAB,S; D0,Sensibilidad,+,10_build.R,"Usa población total, no ocupantes. En AGEB diminutas con viviendas imputadas da valores extremos (52 AGEB > 10; máx. 679): filtrar por tamaño."
ageb_indicadores,23,VIV_PART_HAB,Vivienda,"Total de viviendas particulares habitadas.",decimal (conteo),viviendas,,Ambos,CPV2020_AGEB / CPV2020_ITER,TVIVPARHAB,"Urbana: directo. Rural: suma sobre localidades que publican el grupo VIV.",,S,Población base,n/a,04_census_urban.R; 05_census_rural.R,"Incluye viviendas sin información de ocupantes, por eso NO es el denominador de los porcentajes de vivienda (D-18). En 781 AGEB urbanas con población 0 vale 1.5 por imputación; no afecta ningún porcentaje."
ageb_indicadores,24,VIV_CARACT,Vivienda,"Viviendas particulares habitadas con características captadas (estimación). Denominador de todos los porcentajes de vivienda.",decimal,viviendas,,Ambos,PIPELINE,VPH_*,"min(VIV_PART_HAB, max(VPH_C_ELEC+VPH_S_ELEC, VPH_DRENAJ+VPH_NODREN, VPH_EXCSA+VPH_LETR, y cada conteo VPH_* individual)).",,S,Población base,n/a,10_build.R,"El censo no publica este universo (CONEVAL sí lo usa). Es la mayor de sus cotas inferiores, acotada por TVIVPARHAB. Ver D-18."
ageb_indicadores,25,VIV_DRENAJE,Vivienda,"Viviendas que disponen de drenaje (red pública, fosa séptica, barranca, río, lago o mar).",decimal (conteo),viviendas,,Ambos,CPV2020_AGEB / CPV2020_ITER,VPH_DRENAJ,"Directo (urbana) o suma (rural, grupo VIV).",,S,Conteo para reagregar,n/a,04_census_urban.R; 05_census_rural.R,
ageb_indicadores,26,VIV_ELECTRICIDAD,Vivienda,"Viviendas que disponen de energía eléctrica.",decimal (conteo),viviendas,,Ambos,CPV2020_AGEB / CPV2020_ITER,VPH_C_ELEC,"Directo (urbana) o suma (rural, grupo VIV).",,S,Conteo para reagregar,n/a,04_census_urban.R; 05_census_rural.R,
ageb_indicadores,27,PCT_DRENAJE,Vivienda,"Porcentaje de viviendas con drenaje.",decimal,%,2,Ambos,PIPELINE,VPH_DRENAJ,"100 × VIV_DRENAJE / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"Cambió de denominador (antes TVIVPARHAB). Para la carencia usa PCT_VIV_SIN_DRENAJE, que no es 100 − este valor (D-19)."
ageb_indicadores,28,PCT_ELECTRIC,Vivienda,"Porcentaje de viviendas con electricidad.",decimal,%,2,Ambos,PIPELINE,VPH_C_ELEC,"100 × VIV_ELECTRICIDAD / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"Igual que PCT_DRENAJE; para la carencia usa PCT_VIV_SIN_ELECTRIC."
ageb_indicadores,29,PCT_POB_0A5,Sensibilidad,"Porcentaje de población de 0 a 5 años.",decimal,%,2,Ambos,PIPELINE,P_0A2 + P_3A5,"100 × (POB_0A2 + POB_3A5) / POB_DEN_PERS.",Población de las localidades que publican el grupo PERS,S; D0,Sensibilidad,+,10_build.R,"Calor, enfermedades hídricas y dependencia en evacuación."
ageb_indicadores,30,PCT_POB_65YMAS,Sensibilidad,"Porcentaje de población de 65 años y más.",decimal,%,2,Ambos,PIPELINE,POB65_MAS,"100 × POB_65YMAS / POB_DEN_PERS.",Igual que PCT_POB_0A5,S; D0,Sensibilidad,+,10_build.R,"Mortalidad por calor, movilidad reducida."
ageb_indicadores,31,PCT_POB_DISC,Sensibilidad,"Porcentaje de población con discapacidad.",decimal,%,2,Ambos,PIPELINE,PCON_DISC,"100 × POB_DISC / POB_DEN_PERS.",Igual que PCT_POB_0A5,S; D0,Sensibilidad,+,10_build.R,"Discapacidad = mucha dificultad o imposibilidad para ver, oír, caminar, recordar, autocuidado o comunicarse."
ageb_indicadores,32,PCT_POB_HLI,Sensibilidad,"Porcentaje de población de 3 años y más que habla lengua indígena.",decimal,%,2,Ambos,PIPELINE,P3YM_HLI,"100 × POB_HLI / POB_3YMAS.",Población de 3 años y más,S; D0,Sensibilidad,+,10_build.R,"Proxy de marginación estructural. Para barrera de idioma ante alertas es mejor PCT_POB_HLI_NHE."
ageb_indicadores,33,PCT_POB_HLI_NHE,Sensibilidad,"Porcentaje de población de 3 años y más que habla lengua indígena y no habla español.",decimal,%,2,Ambos,PIPELINE,P3HLINHE,"100 × POB_HLI_NHE / POB_3YMAS.",Población de 3 años y más,S; D0,Sensibilidad,+,10_build.R,"Barrera directa para recibir alertas y avisos oficiales. Mediana nacional 0 %: muy concentrado."
ageb_indicadores,34,PCT_HOG_JEFA,Sensibilidad,"Porcentaje de hogares censales con persona de referencia mujer.",decimal,%,2,Ambos,PIPELINE,HOGJEF_F,"100 × HOGARES_JEFA / HOGARES.",Hogares censales,S; D0,Sensibilidad,+,10_build.R,"Uso común en la literatura de vulnerabilidad social, pero su sentido es debatible; decidir al construir el índice."
ageb_indicadores,35,PCT_POB_SIN_SALUD,Rezago social,"Porcentaje de población sin afiliación a servicios de salud.",decimal,%,2,Ambos,PIPELINE,PSINDER,"100 × POB_SIN_SALUD / POB_DEN_PERS.",Igual que PCT_POB_0A5,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_SSALUD."
ageb_indicadores,36,PCT_ANALF,Rezago social,"Porcentaje de población de 15 años y más analfabeta.",decimal,%,2,Ambos,PIPELINE,P15YM_AN,"100 × POB_15YMAS_ANALF / POB_15YMAS.",Población de 15 años y más,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_ANALF."
ageb_indicadores,37,PCT_EDU_BAS_INC,Rezago social,"Porcentaje de población de 15 años y más con educación básica incompleta.",decimal,%,2,Ambos,PIPELINE,P15YM_SE + P15PRI_IN + P15PRI_CO + P15SEC_IN,"min(100, 100 × (sin escolaridad + primaria incompleta + primaria completa + secundaria incompleta) / POB_15YMAS).",Población de 15 años y más,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_EBINC. Acotado a 100 porque suma cuatro celdas posiblemente imputadas (D-20)."
ageb_indicadores,38,PCT_NOASIS_6A14,Rezago social,"Porcentaje de población de 6 a 14 años que no asiste a la escuela.",decimal,%,2,Ambos,PIPELINE,P6A11_NOA + P12A14NOA,"100 × (POB_6A11_NOASIS + POB_12A14_NOASIS) / (POB_6A11 + POB_12A14).",Población de 6 a 14 años,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_INA614."
ageb_indicadores,39,PCT_NOASIS_15A24,Rezago social,"Porcentaje de población de 15 a 24 años que no asiste a la escuela.",decimal,%,2,Ambos,PIPELINE,P_15A17 + P_18A24 − P15A17A − P18A24A,"max(0, 100 × (POB_15A17 + POB_18A24 − POB_15A17_ASIS − POB_18A24_ASIS) / (POB_15A17 + POB_18A24)).",Población de 15 a 24 años,S; D0,Capacidad adaptativa,±,10_build.R,"Equivalente de RZ_INA1524. Es una resta: incluye a quienes no especificaron asistencia. Mediana nacional 56 %: poco discriminante para vulnerabilidad."
ageb_indicadores,40,PCT_PEA,Empleo,"Tasa de participación económica: porcentaje de la población de 12 años y más con condición de actividad especificada que es económicamente activa.",decimal,%,2,Ambos,PIPELINE,PEA / (PEA + PE_INAC),"100 × POB_PEA / (POB_PEA + POB_INAC).",Población de 12 años y más con condición de actividad especificada (PEA + PE_INAC),S; D0,Capacidad adaptativa,−,10_build.R,"No divide entre P_12YMAS: el no especificado es 0.2–0.5 % por entidad pero llega a 27 % en algunas AGEB. Sumado desde las AGEB de Oaxaca da 57.03 %, igual que el total estatal del ITER. El censo no capta ingreso; esta es la señal económica más cercana."
ageb_indicadores,41,PCT_PEA_F,Empleo,"Tasa de participación económica femenina: porcentaje de mujeres de 12 años y más con condición de actividad especificada que son económicamente activas.",decimal,%,2,Ambos,PIPELINE,PEA_F / (PEA_F + PE_INAC_F),"100 × POB_PEA_F / (POB_PEA_F + POB_INAC_F).",Mujeres de 12 años y más con condición de actividad especificada,S; D0,Capacidad adaptativa,−,10_build.R,"Discrimina más que PCT_PEA entre AGEB (Oaxaca: 34 % rural contra 48 % urbana). Correlaciona con PCT_HOG_JEFA y con rezago educativo; revisar colinealidad al construir el índice."
ageb_indicadores,42,PCT_DESOCUP,Empleo,"Tasa de desocupación: porcentaje de la población económicamente activa que no tiene trabajo y lo buscó.",decimal,%,2,Ambos,PIPELINE,PDESOCUP / PEA,"100 × POB_DESOCUP / POB_PEA.",Población económicamente activa (PEA = POCUPADA + PDESOCUP),S; D0,Capacidad adaptativa,+,10_build.R,"Poco discriminante: el trabajo informal cuenta como ocupación y la tasa censal es baja (1.7–2.3 % por entidad). En AGEB urbanas el conteo es con frecuencia 1–2 y se imputa como 1.5 (D-15), así que en AGEB chicas es ruido."
ageb_indicadores,43,PCT_VIV_SIN_DRENAJE,Vivienda,"Porcentaje de viviendas que no disponen de drenaje.",decimal,%,2,Ambos,PIPELINE,VPH_NODREN,"100 × VIV_SIN_DRENAJE / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_SDREN. Conteo directo, no 100 − PCT_DRENAJE (D-19)."
ageb_indicadores,44,PCT_VIV_SIN_ELECTRIC,Vivienda,"Porcentaje de viviendas que no disponen de energía eléctrica.",decimal,%,2,Ambos,PIPELINE,VPH_S_ELEC,"100 × VIV_SIN_ELECTRICIDAD / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_SELEC."
ageb_indicadores,45,PCT_VIV_SIN_AGUA,Vivienda,"Porcentaje de viviendas sin agua entubada en el ámbito de la vivienda.",decimal,%,2,Ambos,PIPELINE,VPH_AGUAFV,"100 × VIV_SIN_AGUA / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_SAGUA. Estrés hídrico y sequía."
ageb_indicadores,46,PCT_VIV_PISO_TIERRA,Vivienda,"Porcentaje de viviendas con piso de tierra.",decimal,%,2,Ambos,PIPELINE,VPH_PISOTI,"100 × VIV_PISO_TIERRA / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_PISOT. Proxy de precariedad de la vivienda ante inundación."
ageb_indicadores,47,PCT_VIV_1CUARTO,Vivienda,"Porcentaje de viviendas con un solo cuarto.",decimal,%,2,Ambos,PIPELINE,VPH_1CUART,"100 × VIV_1CUARTO / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Hacinamiento y calor interior."
ageb_indicadores,48,PCT_VIV_SIN_SANITARIO,Vivienda,"Porcentaje de viviendas sin excusado, sanitario ni letrina.",decimal,%,2,Ambos,PIPELINE,VPH_EXCSA + VPH_LETR,"max(0, 100 − 100 × (VIV_EXCUSADO + VIV_LETRINA) / VIV_CARACT).",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Equivalente de RZ_SEXCUS. Único complemento: no existe conteo directo. Como CONEVAL, la letrina cuenta como sanitario (D-19)."
ageb_indicadores,49,PCT_VIV_TINACO,Agua y almacenamiento,"Porcentaje de viviendas con tinaco.",decimal,%,2,Ambos,PIPELINE,VPH_TINACO,"100 × VIV_TINACO / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"Almacenamiento de agua ante cortes y sequía."
ageb_indicadores,50,PCT_VIV_CISTERNA,Agua y almacenamiento,"Porcentaje de viviendas con cisterna o aljibe.",decimal,%,2,Ambos,PIPELINE,VPH_CISTER,"100 × VIV_CISTERNA / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,
ageb_indicadores,51,PCT_VIV_REFRI,Bienes y movilidad,"Porcentaje de viviendas con refrigerador.",decimal,%,2,Ambos,PIPELINE,VPH_REFRI,"100 × VIV_REFRI / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"RZ_SREFRI = 100 − este valor (CONEVAL publica la carencia)."
ageb_indicadores,52,PCT_VIV_LAVADORA,Bienes y movilidad,"Porcentaje de viviendas con lavadora.",decimal,%,2,Ambos,PIPELINE,VPH_LAVAD,"100 × VIV_LAVADORA / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"RZ_SLAVAD = 100 − este valor."
ageb_indicadores,53,PCT_VIV_AUTO,Bienes y movilidad,"Porcentaje de viviendas con automóvil o camioneta.",decimal,%,2,Ambos,PIPELINE,VPH_AUTOM,"100 × VIV_AUTO / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"Capacidad de evacuación."
ageb_indicadores,54,PCT_VIV_RADIO,Comunicación y alertas,"Porcentaje de viviendas con radio.",decimal,%,2,Ambos,PIPELINE,VPH_RADIO,"100 × VIV_RADIO / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"Canal de alerta temprana que no depende de la red eléctrica o de datos."
ageb_indicadores,55,PCT_VIV_TELEFONO,Comunicación y alertas,"Porcentaje de viviendas con línea telefónica fija.",decimal,%,2,Ambos,PIPELINE,VPH_TELEF,"100 × VIV_TELEFONO / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"RZ_STELF = 100 − este valor."
ageb_indicadores,56,PCT_VIV_CELULAR,Comunicación y alertas,"Porcentaje de viviendas con teléfono celular.",decimal,%,2,Ambos,PIPELINE,VPH_CEL,"100 × VIV_CELULAR / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"RZ_SCEL = 100 − este valor."
ageb_indicadores,57,PCT_VIV_INTERNET,Comunicación y alertas,"Porcentaje de viviendas con internet.",decimal,%,2,Ambos,PIPELINE,VPH_INTER,"100 × VIV_INTERNET / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"RZ_SINTER = 100 − este valor."
ageb_indicadores,58,PCT_VIV_COMPU,Comunicación y alertas,"Porcentaje de viviendas con computadora, laptop o tablet.",decimal,%,2,Ambos,PIPELINE,VPH_PC,"100 × VIV_COMPU / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,−,10_build.R,"RZ_SCOMPU = 100 − este valor."
ageb_indicadores,59,PCT_VIV_SIN_RADIO_TV,Comunicación y alertas,"Porcentaje de viviendas sin radio ni televisor.",decimal,%,2,Ambos,PIPELINE,VPH_SINRTV,"100 × VIV_SIN_RADIO_TV / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,
ageb_indicadores,60,PCT_VIV_SIN_TEL_CEL,Comunicación y alertas,"Porcentaje de viviendas sin teléfono fijo ni celular.",decimal,%,2,Ambos,PIPELINE,VPH_SINLTC,"100 × VIV_SIN_TEL_CEL / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,
ageb_indicadores,61,PCT_VIV_SIN_TIC,Comunicación y alertas,"Porcentaje de viviendas sin ninguna tecnología de información y comunicación.",decimal,%,2,Ambos,PIPELINE,VPH_SINTIC,"100 × VIV_SIN_TIC / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Sin radio, TV, computadora, teléfono fijo, celular, internet, TV de paga, streaming ni consola. Muy correlacionado con PCT_VIV_SIN_BIENES."
ageb_indicadores,62,PCT_VIV_SIN_BIENES,Bienes y movilidad,"Porcentaje de viviendas sin ningún bien.",decimal,%,2,Ambos,PIPELINE,VPH_SNBIEN,"100 × VIV_SIN_BIENES / VIV_CARACT.",VIV_CARACT,S; D0,Capacidad adaptativa,+,10_build.R,"Sin refrigerador, lavadora, microondas, vehículo, bicicleta ni ninguna TIC."
ageb_indicadores,63,GRAPROES,Rezago social,"Grado promedio de escolaridad de la población de 15 años y más.",decimal,años aprobados,2,Ambos,CPV2020_AGEB / CPV2020_ITER,GRAPROES,"ESC_ANIOS_TOT / POB_15YMAS, donde ESC_ANIOS_TOT = Σ GRAPROES × P_15YMAS de cada localidad (rural) o de la AGEB (urbana).",Población de 15 años y más,S; D0,Capacidad adaptativa,−,04_census_urban.R; 10_build.R,"Los promedios no se suman: se convierten a totales y se vuelven a dividir (D-17). El INEGI excluye a quien no especificó grados; aquí el denominador los incluye, diferencia menor."
ageb_indicadores,64,PRO_OCUP_C,Rezago social,"Promedio de ocupantes por cuarto en viviendas particulares habitadas.",decimal,ocupantes/cuarto,2,Ambos,CPV2020_AGEB / CPV2020_ITER,PRO_OCUP_C,"OCUP_CON_CUARTOS / CUARTOS_TOT, con CUARTOS_TOT = Σ OCUPVIVPAR / PRO_OCUP_C (solo donde PRO_OCUP_C > 0).",Cuartos de viviendas particulares habitadas,S; D0,Sensibilidad,+,04_census_urban.R; 10_build.R,"Sustituto de RZ_HACIN (el censo no publica el conteo de viviendas hacinadas). No se valida contra CONEVAL porque uno es promedio y otro porcentaje."
ageb_indicadores,65,GRS_GRADO,Validación CONEVAL,"Grado de Rezago Social de la AGEB urbana según CONEVAL.",categórica ordinal,,,Solo urbana,CONEVAL_GRS2020,Grado de Rezago Social (col. 28),"Lectura directa.",,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Valores: Muy bajo, Bajo, Medio, Alto, Muy alto. No hay índice continuo (IRS) por AGEB (D-23)."
ageb_indicadores,66,GRS_NUM,Validación CONEVAL,"Grado de Rezago Social codificado numéricamente.",entero,ordinal 1–5,,Solo urbana,PIPELINE,GRS_GRADO,"1 = Muy bajo, 2 = Bajo, 3 = Medio, 4 = Alto, 5 = Muy alto.",,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Ordinal: no promediar como si fuera continuo."
ageb_indicadores,67,RZ_ANALF,Validación CONEVAL,"CONEVAL: % de población de 15 años o más analfabeta.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 11,"Lectura directa, sin redondeo.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Equivalente censal: PCT_ANALF."
ageb_indicadores,68,RZ_INA614,Validación CONEVAL,"CONEVAL: % de población de 6 a 14 años que no asiste a la escuela.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 12,"Lectura directa.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Equivalente: PCT_NOASIS_6A14."
ageb_indicadores,69,RZ_INA1524,Validación CONEVAL,"CONEVAL: % de población de 15 a 24 años que no asiste a la escuela.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 13,"Lectura directa.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Equivalente: PCT_NOASIS_15A24."
ageb_indicadores,70,RZ_EBINC,Validación CONEVAL,"CONEVAL: % de población de 15 años o más con educación básica incompleta.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 14,"Lectura directa.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Equivalente: PCT_EDU_BAS_INC."
ageb_indicadores,71,RZ_SSALUD,Validación CONEVAL,"CONEVAL: % de población sin derechohabiencia a servicios de salud.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 15,"Lectura directa.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Equivalente: PCT_POB_SIN_SALUD."
ageb_indicadores,72,RZ_HACIN,Validación CONEVAL,"CONEVAL: % de viviendas con hacinamiento.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 16,"Lectura directa.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Sin equivalente exacto; PRO_OCUP_C es el sustituto más cercano."
ageb_indicadores,73,RZ_SAGUA,Validación CONEVAL,"CONEVAL: % de viviendas que no disponen de agua entubada de la red pública.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 17,"Lectura directa.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Equivalente: PCT_VIV_SIN_AGUA."
ageb_indicadores,74,RZ_SEXCUS,Validación CONEVAL,"CONEVAL: % de viviendas que no disponen de excusado o sanitario.",decimal,%,,Solo urbana,CONEVAL_GRS2020,col. 18,"Lectura directa.",Según CONEVAL,E: rural; S: CONEVAL no lo publica,Validación externa,+,06_coneval.R,"Equivalente: PCT_VIV_SIN_SANITARIO."
